economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;2;29;3;5;1;1;0;0;0;2;0;2;1
Saudi Arabia;SAU;2;35;3;1;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;2;18;3;5;2;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;2;36;3;4;1;2;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;39;2;4;1;2;0;0;0;2;0;5;1
Saudi Arabia;SAU;1;31;1;1;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;45;2;1;2;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;1;53;3;5;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;39;2;2;1;1;0;0;0;2;0;7;1
Saudi Arabia;SAU;2;30;3;4;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;16;2;3;2;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;1;38;2;5;2;2;1;1;0;1;1;1;1
Saudi Arabia;SAU;2;53;2;1;2;2;0;1;0;1;0;4;1
Saudi Arabia;SAU;2;30;2;2;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;26;2;5;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;27;3;5;1;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;1;37;3;3;1;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;2;32;3;1;2;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;48;3;4;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;40;3;4;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;1;32;3;4;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;29;2;3;1;2;1;0;1;1;1;4;1
Saudi Arabia;SAU;1;39;2;3;2;2;1;1;0;2;1;4;1
Saudi Arabia;SAU;2;25;3;3;1;2;1;0;1;1;1;7;1
Saudi Arabia;SAU;2;30;3;5;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;26;3;5;1;1;1;1;1;1;1;2;1
Saudi Arabia;SAU;1;50;2;2;2;2;0;0;0;2;0;3;1
Saudi Arabia;SAU;1;45;2;5;2;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;2;22;2;3;1;2;1;0;0;1;1;5;1
Saudi Arabia;SAU;2;21;2;2;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;60;2;4;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;2;23;2;5;2;1;0;1;0;2;0;5;0
Saudi Arabia;SAU;2;31;3;1;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;28;3;4;2;2;1;0;1;1;1;5;1
Saudi Arabia;SAU;1;22;3;2;1;2;0;0;1;1;0;4;1
Saudi Arabia;SAU;1;25;3;4;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;34;3;5;2;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;2;26;2;3;1;2;1;1;0;1;1;7;1
Saudi Arabia;SAU;2;41;1;3;1;1;0;1;1;2;0;4;1
Saudi Arabia;SAU;2;42;1;2;1;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;1;32;2;2;2;2;1;0;1;1;1;3;1
Saudi Arabia;SAU;1;48;3;4;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;26;2;3;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;43;3;1;1;2;1;0;1;1;1;1;1
Saudi Arabia;SAU;1;40;2;3;2;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;1;19;2;3;1;2;0;0;0;2;0;7;1
Saudi Arabia;SAU;1;49;2;1;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;35;2;4;2;2;1;1;0;1;1;5;1
